JOBNAME,CHANGED_JOBNAME,insert_job,box_name,condition
medba_full_backup_bwprod36,medba_full_backup_bwprod36,medba_full_backup_bwprod36 : dmz_medba_full_backup_bwprod36,,
medba_archive_backup_bwprod07,medba_archive_backup_bwprod07,medba_archive_backup_bwprod07 : dmz_medba_archive_backup_bwprod07,,
medba_full_backup_bwprod07,medba_full_backup_bwprod07,medba_full_backup_bwprod07 : dmz_medba_full_backup_bwprod07,,
medba_archive_backup_bwprod12,medba_archive_backup_bwprod12,medba_archive_backup_bwprod12 : dmz_medba_archive_backup_bwprod12,,
medba_full_backup_bwprod12,medba_full_backup_bwprod12,medba_full_backup_bwprod12 : dmz_medba_full_backup_bwprod12,,
mebwd_w_bw_client_site_smlmkt_rpt,mebwd_w_bw_client_site_smlmkt_rpt,mebwd_w_bw_client_site_smlmkt_rpt : dmz_mebwd_w_bw_client_site_smlmkt_rpt,,
mebwd_w_bw_client_site_rpt,mebwd_w_bw_client_site_rpt,mebwd_w_bw_client_site_rpt : dmz_mebwd_w_bw_client_site_rpt,,
mebwd_bw_client_site_rpt_test10,mebwd_bw_client_site_rpt_test10,mebwd_bw_client_site_rpt_test10 : dmz_mebwd_bw_client_site_rpt_test10,,
mebwd_bw_client_site_rpt_dev10,mebwd_bw_client_site_rpt_dev10,mebwd_bw_client_site_rpt_dev10 : dmz_mebwd_bw_client_site_rpt_dev10,,
mebwd_bw_client_site_rpt_fv2,mebwd_bw_client_site_rpt_fv2,mebwd_bw_client_site_rpt_fv2 : dmz_mebwd_bw_client_site_rpt_fv2,,
mebwd_bw_client_site_rpt_cso,mebwd_bw_client_site_rpt_cso,mebwd_bw_client_site_rpt_cso : dmz_mebwd_bw_client_site_rpt_cso,,
medba_check_prod_autosys_jobs,medba_check_prod_autosys_jobs,medba_check_prod_autosys_jobs : dmz_medba_check_prod_autosys_jobs,,
medba_full_backup_RMANPROD,medba_full_backup_RMANPROD,medba_full_backup_RMANPROD : dmz_medba_full_backup_RMANPROD,,
medba_archive_backup_RMANPROD,medba_archive_backup_RMANPROD,medba_archive_backup_RMANPROD : dmz_medba_archive_backup_RMANPROD,,
medba_create_tnsnames_from_OID_vcn1,medba_create_tnsnames_from_OID_vcn1,medba_create_tnsnames_from_OID_vcn1 : dmz_medba_create_tnsnames_from_OID_vcn1,,
mebwd_emerg_acct_drop,mebwd_emerg_acct_drop,mebwd_emerg_acct_drop : dmz_mebwd_emerg_acct_drop,,
medba_create_tnsnames_from_OID_vcn2,medba_create_tnsnames_from_OID_vcn2,medba_create_tnsnames_from_OID_vcn2 : dmz_medba_create_tnsnames_from_OID_vcn2,,
mebwd_core_bw_info,mebwd_core_bw_info,mebwd_core_bw_info : dmz_mebwd_core_bw_info,,
pmdocsusprod_d_uni_start_MdocsETLReport,pmdocsusprod_d_uni_start_MdocsETLReport,pmdocsusprod_d_uni_start_MdocsETLReport : dmz_pmdocsusprod_d_uni_start_MdocsETLReport,,
medba_archive_backup_bwproda,medba_archive_backup_bwproda,medba_archive_backup_bwproda : dmz_medba_archive_backup_bwproda,,
medba_full_backup_bwproda,medba_full_backup_bwproda,medba_full_backup_bwproda : dmz_medba_full_backup_bwproda,,
medba_archive_backup_bwprod44,medba_archive_backup_bwprod44,medba_archive_backup_bwprod44 : dmz_medba_archive_backup_bwprod44,,
medba_full_backup_bwprod44,medba_full_backup_bwprod44,medba_full_backup_bwprod44 : dmz_medba_full_backup_bwprod44,,
medba_archive_backup_fullvol2,medba_archive_backup_fullvol2,medba_archive_backup_fullvol2 : dmz_medba_archive_backup_fullvol2,,
medba_full_backup_fullvol2,medba_full_backup_fullvol2,medba_full_backup_fullvol2 : dmz_medba_full_backup_fullvol2,,
mebwd_mat_views_refresh_apxprd01,mebwd_mat_views_refresh_apxprd01,mebwd_mat_views_refresh_apxprd01 : dmz_mebwd_mat_views_refresh_apxprd01,,
