JOBNAME,DESCRIPTION,MACHINE NAME,COMMAND,JOB TYPE
mamm_d_report_batch_usprd1wasshe,"Daily report caching process - can be rerun",usprd1wasshe,/opt/batch/prd/ojdk1.8/linux-x64/jre/bin/java -DenvName=prd -Dlog4j.configuration=log4j_prd.properties -jar /opt/batch/MMreport-batch/MMreport-batch.jar,CMD
maaes_m_net_ezcert_distribution,"NET_EZCERT_DISTRIBUTION batch job",usfkl11as23v,"D:\Cert_Distrubution_Batch\Carrier_Report_Dist_Batch.exe",CMD
maaes_m_prerenewal_cert_batch_clientrenewal_usfkl11as23v,"Prerenewal Cert Batch ClientRenewal",usfkl11as23v,D\:\PreRenewal_Certificates\PreRenewal_Cert_Batch\ClientRenewal.exe,CMD
mewb_d_stop_SPP_PRD_OHS_21as348,"This will stop the Oracle HTTP Server on usfkl21as348",usfkl21as348,/home/siebel/scripts/stop_OHS_spp.sh,CMD
mewb_d_start_SPP_PRD_OHS_21as348,"This will start the Oracle HTTP Server on usfkl21as348",usfkl21as348,/home/siebel/scripts/start_OHS_spp.sh,CMD
mewb_d_start_MRMS_PRD_OHS_21as345,"This will start the Oracle HTTP Server usfkl21as345",usfkl21as345,/home/siebel/scripts/start_OHS_mrms.sh,CMD
mewb_d_stop_MRMS_PRD_OHS_21as345,"This will stop the Oracle HTTP Server on usfkl21as345",usfkl21as345,/home/siebel/scripts/stop_OHS_mrms.sh,CMD
marsyn_d_WAS8_5_INT_rsync-from-PRD-N1-PRF_N1,"Daily rsync from WAS855 Prod Internal Webserver (usfkl21ws86v) to DR Internal Webserver (USDFW22WS26V)",usfkl21ws86v,/opt/apps/scripts/DRScripts/WAS8.5_INT_rsync-from-prd-N1-prf.sh,CMD
marsyn_d_WPS8_5_INT_rsync-from-PRD-N1-PRF_N1,"Daily rsync from Websphere Portal855 Prod Internal Webserver (usfkl21ws86v) to DR Internal Webserver (USDFW22WS26V)",usfkl21ws86v,/opt/apps/scripts/DRScripts/WPS8.5_INT_rsync-from-prd-N1-prf.sh,CMD
marsyn_d_WAS8_5_INT_rsync-from-PRD-N2-PRF_N2,"Daily rsync from WAS855 Prod Internal Webserver (USFKL21WS87V) to DR Internal Webserver (USDFW22WS27V)",usfkl21ws87v,/opt/apps/scripts/DRScripts/WAS8.5_INT_rsync-from-prd-N2-prf.sh,CMD
