S.no,Wave,Job_name,Job_type,Box_name,Application,Application Owner,,,,
713096,Wave4,mmbkp_d_ev_apac_mel_fingerprint_2,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713097,Wave4,mmbkp_d_ev_apac_mel_vault_2,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713098,Wave4,mmbkp_d_ev_apac_syd_vault_2,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713099,Wave4,mmbkp_d_ev_apac_mel_index3,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713100,Wave4,mmbkp_d_ev_apac_syd_index3,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713101,Wave4,mmbkp_d_ev_apac_mel_index3_refreshclone,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713102,Wave4,mmbkp_d_ev_apac_syd_index3_refreshclone,CMD,mmbkp_d_ev_apac_backup_box,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713103,Wave4,mmamsg_d_ev_apac_syd_start_index2a,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713104,Wave4,mmamsg_d_ev_apac_syd_start_index2b,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713105,Wave4,mmamsg_d_ev_apac_mel_start_index2a,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713106,Wave4,mmamsg_d_ev_apac_mel_start_index2b,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713107,Wave4,mmamsg_d_ev_apac_syd_start_index3a,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713108,Wave4,mmamsg_d_ev_apac_syd_start_index3b,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713109,Wave4,mmamsg_d_ev_apac_mel_start_index3a,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
